commit_hash,fecha,tipo_de_issue,dia_desde_inicio
5479dab1aebc63fbb7318accaca31b984dbc394f,2025-06-19 16:00:54 -0500,test[#27],0
945a88931950e2ad70adae82b4e1e0bd8a9217e4,2025-06-19 13:09:37 -0500,fix[#30],-1
79c6599525550ea3960a0122141d92f831673d78,2025-06-19 12:50:41 -0500,fix[#16],-1
2edfe3157fcedbf3e1dbdc5f1f6cb3a27b7efc8b,2025-06-18 22:50:08 -0500,test[#30],-1
e397dad0f275cb33201d596567821d6e6e2ab932,2025-06-18 22:01:36 -0500,refactor[#29],-1
ede7fd10125d3027edb47cc70921f027be7bc0ca,2025-06-18 17:32:49 -0500,docs[#26],-1
6df01c84295578df8b7319bc9f39cff6ad84d63b,2025-06-18 17:31:46 -0500,feat[#26],-1
4d946e0e8a1417d7a70e6541b7fcdfb9168d07a9,2025-06-14 21:03:24 -0500,test[#18],-5
6382e3942f6df57d10326bb1a573e53f32d53191,2025-06-14 21:02:53 -0500,update[#18],-5
0dc4ad749b786f23726f40f3b0df62b0d85ed74a,2025-06-14 18:24:47 -0500,feat[#16],-5
96a867a312dd534598a05bf6efaa0fe5b19f6fb2,2025-06-13 18:07:14 -0500,update[#16],-6
f79b26a2b4eb7016a31cfebcbf7a70497ced599a,2025-06-12 21:15:41 -0500,docs[#15],-7
d04b42d68e2c4c53b2bd174e240991ee454733cf,2025-06-12 21:13:55 -0500,docs[#15],-7
9e135389f0c88dd89e255535dc374dfd1034f448,2025-06-12 21:12:28 -0500,feat[#15],-7
e119f28cbd70ab1b2acf68c9d2771ecc4d9a2d03,2025-06-12 13:21:53 -0500,update[#17],-8
c9053a936cd3676e3a73ea388cf6a28a5277d7d8,2025-06-09 23:23:29 -0500,docs[#13],-10
72d770a0f4db023d9a67a1b66c7f6a8794ae6e29,2025-06-08 20:59:42 -0500,merge[#5],-11
678e48ac1b288e3fc176684bd6494e43f570ab3c,2025-06-08 20:35:18 -0500,feat[#5],-11
dd87d789514f5e39fef2799c4af14327b12b509a,2025-06-08 18:03:57 -0500,merge[#3],-11
94f9001fc2ea969d94525d8cb7ca9a7961bf3189,2025-06-08 17:21:48 -0500,test[#3],-11
cb7f5f75efb7939aea565b3afa8f2df24d10e202,2025-06-08 17:14:02 -0500,merge[#4],-11
59988ada1240c25a1c8f1f46b6b293de9f75b41c,2025-06-08 11:01:03 -0500,docs[#4],-12
1173ee8b23f27d7e236ff120d004986cdd4f35b3,2025-06-08 10:59:18 -0500,feat[#4],-12
a066af57769041d809ecd9ccfdc49828b6e4979b,2025-06-07 14:37:26 -0500,merge[#2],-13
2badba24e6337acd8d0bd3623f259b69fd5f85b7,2025-06-07 14:16:43 -0500,feat[#2],-13
dd7f0d82c20723421cad478417c7fbbeac2290e4,2025-06-07 13:34:38 -0500,merge[#1],-13
351d037478de2551d5d6b11b622fd8ffcbb5de68,2025-06-07 17:26:34 -0500,docs[#3],-12
b68afb549522c0532e40049d5c48596937f48f11,2025-06-07 17:25:52 -0500,feat[#3],-12
109bbe5b0815b7c54919ea731574fb031083afda,2025-06-07 14:37:26 -0500,feat[#2],-13
6fafd673b93474226c3abc1716751b286c2b9692,2025-06-07 14:16:43 -0500,feat[#2],-13
1955a26e8da2168093ad54e5d007279f3200e6b2,2025-06-07 13:34:38 -0500,feat[#1],-13
c53fe9c8b64135b3f7241c423c8e3750053cf4c6,2025-06-07 12:59:43 -0500,feat[#1],-13
2f1a006a839a69846ad239df3e5848772a4ad9f1,2025-06-06 18:13:21 -0500,feat[#0],-13
